opened: opened 
la: la 
path: path 
interpolate: interpolate 
prof: proves 
baby: baby 
created: created 
transcriber: transcribers 
fast: fast 
end: ends 
johnny: johnny 
evolution: evolution 
dion: dion 
phillips: phillips 
stacey: stacey 
side: side 
family: family 
date: date 
q: q 
third: third 
v: v 
brother: brothers 
master: master 
sonic: sonic 
release: release 
dark: dark 
personal: personal 
twin: twin 
would: would 
record: record records 
type: type 
june: june 
rodney: rodney 
hit: hit 
sample: sample samples 
fool: fool 
mention: mention 
tonk: tonk 
phoenix: phoenix 
share: share 
g: g 
strong: strong 
line: lines line 
never: never 
bit: bit 
love: love 
two: two 
tell: tell 
gregory: gregory 
happiness: happiness 
copy: copies 
infidelity: infidelities 
got: got 
stray: stray 
expand: expand 
follow: follow 
effect: effect 
peck: peck 
alone: alone 
autobiography: autobiography 
ring: ring 
film: film 
tag: tags 
gladewater: gladewater 
z: z 
bind: binds 
open: open 
known: known 
phair: phair 
vulnerable: vulnerable 
remixes: remixes 
blue: blues blue 
mind: mind 
mine: mine 
laying: laying 
minute: minutes 
came: came 
always: always 
bold: bold 
watch: watch 
view: view 
die: die 
cause: cause 
biggest: biggest 
suppose: suppose 
privacy: privacy 
program: program 
italic: italics 
u: us u 
file: file 
voice: voice 
earlier: earlier 
right: right 
kept: kept 
header: headers 
solomon: solomon 
information: information 
guideline: guidelines 
stay: stay 
road: road 
man: man 
contributor: contributor contributors 
many: many 
even: even 
sound: sound 
part: parts part 
understand: understand 
read: read 
first: first 
texas: texas 
w: w 
also: also 
day: day days 
songwriter: songwriter 
mitchell: mitchell 
name: name 
spot: spots 
code: code 
liberto: liberto 
married: married 
track: track 
know: know 
performance: performances performance 
country: country 
perkins: perkins 
credit: credits 
doggone: doggone 
chorus: chorus 
musical: musical 
walk: walk 
insight: insight 
early: early 
chris: chris 
billboard: billboard 
island: island 
quentin: quentin 
source: source 
layin: layin 
happened: happened 
famous: famous 
vivian: vivian 
sharp: sharp 
mysterious: mysterious 
populaire: populaire 
term: terms 
quebec: quebec 
copyright: copyright 
r: r 
knowledge: knowledge 
liz: liz 
verified: verified 
interfered: interfered 
musique: musique 
visit: visit 
sell: sell 
wife: wife 
must: must 
l: l 
search: search 
gave: gave 
cash: cash 
heart: heart 
according: according 
dog: dogs 
developer: developers 
folsom: folsom 
palpable: palpable 
joaquin: joaquin 
prison: prison 
tennessee: tennessee 
allen: allen 
mean: means 
remained: remained 
press: press 
almost: almost 
boy: boy 
dress: dresses 
generally: generally 
tempted: tempted 
willing: willing 
shop: shop 
indeed: indeed 
sold: sold 
eye: eyes 
tide: tide 
easy: easy 
remain: remain 
find: find 
tour: tour 
format: format 
newly: newly 
section: section 
ml: ml 
honky: honky 
parton: parton 
light: light 
pentatonix: pentatonix 
revolutionary: revolutionary 
statler: statler 
world: world 
wine: wine 
wreck: wreck 
n: n 
doin: doin 
lyric: lyric lyrics 
lmp: lmp 
bob: bob 
j: j 
pledge: pledge 
one: ones one 
artist: artists artist 
single: single 
sounded: sounded 
carousel: carousel 
credited: credited 
often: often 
problem: problem 
row: row 
embed: embed 
holding: holdings 
transcription: transcription 
job: jobs 
closing: closing 
attack: attack 
je: je 
answer: answer 
learn: learn 
couple: couple 
label: label 
dylan: dylan 
turn: turn 
version: version 
advertise: advertise 
revisited: revisited 
recited: recited 
rockabilly: rockabilly 
f: f 
sheriff: sheriff 
lonesome: lonesome 
higher: higher 
keep: keep 
fire: fire 
geoff: geoff 
e: e 
individual: individual 
tie: tie 
ultimate: ultimate 
influence: influence 
carter: carter 
song: songs song 
take: take 
lord: lord 
sun: sun 
look: look 
hide: hide 
live: live 
time: times time 
wide: wide 
licensing: licensing 
make: makes 
could: could 
give: give 
music: music 
contact: contact 
iero: iero 
guitar: guitar 
everly: everly 
collection: collection 
biopic: biopic 
admit: admit 
stand: stand 
hot: hot 
remember: remember 
crowell: crowell 
said: said 
fell: fell 
dolly: dolly 
certain: certain 
old: old 
annotation: annotation 
million: million 
retro: retro 
finding: finding 
video: videos 
p: p 
add: add 
check: check 
sign: sign 
little: little 
became: became 
cry: cry 
poor: poor 
k: k 
frank: frank 
might: might 
laid: laid 
cupid: cupid 
halsey: halsey 
featured: featured 
comment: comment comments 
nimoy: nimoy 
say: say 
whistle: whistle 
ask: ask 
san: san 
pulled: pulled 
devotion: devotion 
yes: yes 
true: true 
bear: bear 
drop: drop 
wrote: wrote 
write: write 
rescue: rescue 
hollered: hollered 
bastard: bastards 
h: h 
carl: carl 
calling: calling 
c: c 
way: way 
guide: guide 
april: april 
daughtry: daughtry 
faithful: faithful 
top: top 
fuck: fuck 
different: different 
producer: producer 
good: good 
promote: promote 
scholar: scholars 
forum: forum 
girly: girly 
guy: guy 
distinguish: distinguish 
policy: policy 
eddy: eddy 
verse: verse 
etc: etc 
peach: peaches 
someone: someone 
pledging: pledging 
rock: rock 
explain: explain 
sure: sure 
memphis: memphis 
droit: droit 
trying: trying 
ft: ft 
beautiful: beautiful 
use: use 
try: try 
promise: promise 
fact: facts 
vocalist: vocalists 
question: question 
usa: usa 
like: like 
broken: broken 
written: written 
singer: singer 
heard: heard 
genius: genius 
b: b 
recorded: recorded 
city: city 
repeating: repeating 
journal: journals 
year: years 
seems: seems 
x: x 
sam: sam 
medley: medley 
considered: considered 
cover: covers 
starring: starring 
chart: charts 
girl: girl 
week: weeks 
night: night 
please: please 
cancel: cancel 
produced: produced 
llc: llc 
ballroom: ballroom 
pull: pull 
finished: finished 
close: close 
leonard: leonard 
word: words 
