bukovac: bukovac 
mark: mark 
interpolate: interpolate 
cheat: cheats 
lucky: lucky 
hightower: hightower 
mai: mai 
watt: watts 
created: created 
transcriber: transcribers 
johnson: johnson 
nonbinary: nonbinary 
lie: lie 
drink: drink 
side: side 
wasted: wasted 
see: sees 
di: di 
combo: combo 
date: date 
canada: canada 
q: q 
third: third 
v: v 
release: release 
confined: confined 
personal: personal 
twin: twin 
joe: joe 
would: would 
record: record 
wheel: wheel 
fame: fame 
souped: souped 
type: type 
devil: devil 
tom: tom 
lisa: lisa 
keyboard: keyboards 
white: white 
shoal: shoals 
share: share 
g: g 
line: lines 
shania: shania 
vocal: vocal vocals 
love: love 
two: two 
life: life 
josh: josh 
trouble: trouble 
arista: arista 
copy: copies 
expand: expand 
slow: slow 
completely: completely 
cochran: cochran 
get: get 
trash: trash 
yudkin: yudkin 
tag: tags 
jet: jet 
z: z 
selling: selling 
remixes: remixes 
drunk: drunk 
young: young 
wilson: wilson 
came: came 
always: always 
thinking: thinking 
bold: bold 
view: view 
green: green 
cause: cause 
co: co 
biggest: biggest 
hawk: hawk 
forget: forget 
privacy: privacy 
singing: singing 
italic: italics 
four: four 
u: us u 
lesson: lessons lesson 
bathroom: bathroom 
crossover: crossover 
happy: happy 
alexis: alexis 
whiskey: whiskey 
lonnie: lonnie 
digital: digital 
right: right 
pop: pop 
header: headers 
unfaithful: unfaithful 
information: information 
guideline: guidelines 
contributor: contributor contributors 
shoot: shoot 
even: even 
flew: flew 
part: parts part 
heart: hearts 
understand: understand 
read: read 
first: first 
w: w 
also: also 
fiddle: fiddle 
postmodern: postmodern 
background: background 
lee: lee 
dancing: dancing 
drum: drums 
name: name 
established: established 
track: track 
know: know 
steel: steel 
country: country 
st: st 
credit: credits 
percussion: percussion 
chorus: chorus 
musical: musical 
debut: debut 
insight: insight 
bass: bass 
chris: chris 
billboard: billboard 
source: source 
summer: summer 
laylines: laylines 
state: states state 
adult: adult 
term: terms 
jesus: jesus 
copyright: copyright 
r: r 
outro: outro 
snow: snow 
knowledge: knowledge 
gonna: gonna 
verified: verified 
certified: certified 
sleep: sleeps 
destroy: destroy 
visit: visit 
platinum: platinum 
fruity: fruity 
tompkins: tompkins 
sell: sell 
bleached: bleached 
l: l 
search: search 
feeling: feeling 
sample: samples 
traitor: traitor 
developer: developers 
taylor: taylor 
sutton: sutton 
pretty: pretty 
think: think 
al: al 
magic: magic 
wrong: wrong 
press: press 
bay: bay 
carved: carved 
tire: tires 
acoustic: acoustic 
studio: studios 
shop: shop 
dug: dug 
realized: realized 
tramp: tramp 
grammy: grammy 
stick: stick 
five: five 
format: format 
section: section 
success: success 
ranked: ranked 
heaven: heaven 
ml: ml 
performance: performance 
buying: buying 
woman: woman 
maria: maria 
post: post 
pool: pool 
go: goes 
afternoon: afternoon 
world: world 
brittany: brittany 
npr: npr 
lo: lo 
n: n 
kitty: kitty 
maybe: maybe 
nashville: nashville 
lyric: lyric lyrics 
sloas: sloas 
louisville: louisville 
played: played 
j: j 
kear: kear 
artist: artists artist 
single: single 
headlight: headlights 
glad: glad 
reggie: reggie 
beth: beth 
