touching: touching 
q: q 
think: think 
around: around 
change: change 
created: created 
together: together 
world: world 
brittany: brittany 
guitar: guitar 
lasted: lasted 
know: know 
mean: mean 
tour: tour 
phone: phone 
eylands: eylands 
anna: anna 
rescue: rescue 
degree: degrees 
bubble: bubble 
andrew: andrew 
award: award 
tom: tom 
search: search 
talk: talk 
literally: literally 
brasil: brasil 
baby: baby 
continuous: continuous 
crazy: crazy 
ball: balls 
tim: tim 
could: could 
selling: selling 
kidz: kidz 
hart: hart 
ai: aises ais 
meant: meant 
g: g 
needed: needed 
shot: shot 
away: away 
vocalist: vocalists 
certification: certifications 
hannah: hannah 
might: might 
reveal: reveal 
r: r 
relevant: relevant 
contributor: contributor contributors 
described: described 
mine: mine 
digital: digital 
set: set sets 
billboard: billboard 
genius: genius 
understand: understand 
swift: swift 
knapp: knapp 
see: see 
new: new 
wild: wild 
people: people 
end: end 
hide: hide 
rafael: rafael 
even: even 
aise: aise 
c: c 
graceffa: graceffa 
begin: begin 
school: school 
hollens: hollens 
usually: usually 
credit: credits 
scholar: scholars 
trigwell: trigwell 
lin: lin 
getting: getting 
changing: changing 
swear: swear 
record: records record 
clicked: clicked 
ooh: ooh 
almost: almost 
avenue: avenue 
listened: listened 
split: split 
made: made 
secret: secret 
still: still 
felt: felt 
traduction: traduction 
live: live 
type: type 
weeze: weeze 
chart: charts 
portrait: portrait 
translation: translation translations 
source: source 
band: bands 
joe: joe 
received: received 
last: last 
played: played 
learn: learn 
gmpresents: gmpresents 
process: process 
tackled: tackled 
album: album 
maddie: maddie 
conway: conway 
keyboard: keyboards 
chalkeaters: chalkeaters 
oh: oh 
lil: lil 
sell: sell 
one: one 
assistant: assistant 
self: self 
landon: landon 
seen: seen 
etc: etc 
embed: embed 
recording: recording 
nice: nice 
picking: picking 
outfit: outfits 
peter: peter 
featured: featured 
beautiful: beautiful 
good: good 
aisha: aisha 
guideline: guidelines 
humorous: humorous 
shellback: shellback 
first: first 
falling: falling 
riff: riff 
studio: studio studios 
track: track 
background: background 
sydney: sydney 
fly: fly 
mash: mash 
caring: caring 
country: country 
b: b 
walk: walk 
telling: telling 
teen: teen 
opposite: opposite 
romantic: romantic 
w: w 
forever: forever 
much: much 
watt: watts 
holland: holland 
heard: heard 
michael: michael 
biggest: biggest 
knowledge: knowledge 
area: areas 
wilson: wilson 
would: would 
whether: whether 
huang: huang 
parody: parody 
day: days day 
velcro: velcro 
bold: bold 
working: working 
eric: eric 
melody: melody 
aj: aj 
twin: twin 
caitlin: caitlin 
cancel: cancel 
verified: verified 
pre: pre 
abstract: abstract 
going: going 
fail: fail 
rear: rear 
advertise: advertise 
playoff: playoffs 
perfect: perfect 
part: parts part 
plagiarize: plagiarize 
max: max 
saying: saying 
martin: martin 
mindless: mindless 
portugu: portugu 
sam: sam 
packer: packers 
season: seasons 
f: f 
transcription: transcription 
many: many 
apparition: apparitions 
e: es e 
programmer: programmer 
reggie: reggie 
come: come 
never: never 
tether: tether 
traductions: traductions 
produced: produced 
pluffaduff: pluffaduff 
promote: promote 
thought: thought 
loana: loana 
refuse: refuses 
tominaga: tominaga 
call: call calls 
hate: hate 
cimorelli: cimorelli 
leave: leave 
inferior: inferior 
pitch: pitch 
triple: triple 
lucky: lucky 
lo: lo 
ultimate: ultimate 
night: night 
al: al 
wash: wash washes 
alexis: alexis 
year: year 
fight: fights 
camp: camp 
rhett: rhett 
song: songs song 
anthem: anthem 
broken: broken 
august: august 
car: car 
team: team 
biggayrapper: biggayrapper 
tag: tags 
barden: barden 
always: always 
production: production 
tonight: tonight 
fifth: fifth 
dodie: dodie 
grammy: grammy 
joey: joey 
medley: medley 
snow: snow 
called: called 
relationship: relationship 
liner: liner 
declan: declan 
state: state 
minecraft: minecraft 
link: link 
scofield: scofield 
deluxe: deluxe 
happy: happy 
header: headers 
iscf: iscf 
able: able 
portuguese: portuguese 
bay: bay 
press: press 
bass: bass 
holding: holdings 
radio: radio 
lovely: lovely 
alvord: alvord 
thing: things 
peace: peace 
moving: moving 
note: notes 
read: read 
putting: putting 
huxley: huxley 
privacy: privacy 
insight: insight 
z: z 
like: like 
job: jobs 
hipster: hipster 
answer: answer 
go: go 
finally: finally 
performance: performances 
enough: enough 
question: question 
line: lines 
month: month 
experience: experiences 
stuff: stuff 
kelly: kelly 
high: high 
visit: visit 
gonna: gonna 
make: make 
individual: individual 
espa: espa 
contact: contact 
message: message 
bella: bella 
comment: comments comment 
hopefully: hopefully 
light: lights 
grace: grace 
instrumental: instrumental 
llc: llc 
date: date 
erban: erban 
shop: shop 
fuess: fuess 
united: united 
ex: ex 
mxm: mxm 
costume: costume 
sensitive: sensitive 
williams: williams 
bridge: bridge 
broke: broke 
format: format 
tradu: tradu 
involved: involved 
shine: shine 
vaccine: vaccines 
said: said 
drop: drop 
nicole: nicole 
music: music 
remix: remix 
boyfriend: boyfriend 
robert: roberts 
add: add 
lead: lead 
wearing: wearing 
three: three 
smosh: smosh 
explained: explained 
ml: ml 
designer: designer 
pop: pop 
used: used 
holy: holy 
acoustic: acoustic 
v: v 
next: next 
get: get 
rebel: rebel 
space: space 
sarcastically: sarcastically 
mastering: mastering 
true: true 
john: john 
find: find 
different: different 
madilyn: madilyn 
original: original 
coyne: coyne 
starlight: starlight 
edits: edits 
label: label 
break: break 
cause: cause 
u: us u 
well: well 
onto: onto 
air: air 
backed: backed 
knew: knew 
songwriter: songwriter 
indulgence: indulgence 
chorus: chorus 
ghenea: ghenea 
declares: declares 
changed: changed 
information: information 
expand: expand 
luke: luke 
remember: remember 
right: right 
torus: tori 
forum: forum 
trouble: trouble 
dave: dave 
serbian: serbian 
cupid: cupid 
complexity: complexity 
moment: moment 
copyright: copyright 
sample: samples sample 
varying: varying 
bubblegum: bubblegum 
nomination: nomination 
take: take 
yeah: yeah 
definitive: definitive 
stay: stay 
ol: ol 
charm: charm 
natewantstobattle: natewantstobattle 
austin: austin 
fran: fran 
h: h 
stopped: stopped 
kind: kind 
green: green 
written: written 
victor: victor 
synth: synth 
policy: policy 
n: n 
video: video videos 
nether: nether 
indie: indie 
writing: writing 
ever: ever 
release: release 
sp: sp 
brighter: brighter 
l: l 
ended: ended 
home: home 
sign: sign 
holophonics: holophonics 
trick: trick 
film: film 
guthrie: guthrie 
whitebloom: whitebloom 
girl: girl 
bop: bop 
today: today 
artist: artists 
leading: leading 
ft: ft 
collection: collection 
kendrick: kendrick 
p: p 
aug: aug 
sony: sony 
back: back 
lot: lot 
traducci: traducci 
projection: projection 
machine: machine 
post: post 
verse: verse 
taylor: taylor 
fourth: fourth 
licensing: licensing 
share: share 
transcriber: transcribers 
seamlessly: seamlessly 
mashup: mashup 
jayne: jayne 
pink: pink 
apartment: apartment 
trying: trying 
coordinator: coordinator 
wall: wall 
ilbert: ilbert 
tiffany: tiffany 
cut: cut 
distinguish: distinguish 
hanes: hanes 
arm: arm 
loxive: loxive 
kid: kids 
director: director 
absolutely: absolutely 
sissom: sissom 
cover: covers cover 
cardboard: cardboard 
view: view 
cooper: cooper 
french: french 
sad: sad 
everything: everything 
colbreakz: colbreakz 
x: x 
repeating: repeating 
guide: guide 
annotation: annotation 
else: else 
big: big 
tara: tara 
harmony: harmony 
term: terms 
friend: friends 
quick: quick 
leg: leg 
lyric: lyric lyrics 
version: version 
time: times time 
sure: sure 
check: check 
throwback: throwback 
really: really 
hear: hear 
demo: demo 
fr: fr 
screaming: screaming 
tragic: tragic 
rawinthevoid: rawinthevoid 
fact: facts 
personal: personal 
say: say 
italic: italics 
greg: greg 
singer: singer 
caption: caption 
went: went 
ground: ground 
mixing: mixing 
conard: conard 
tell: tells 
megan: megan 
j: j 
cited: cited 
npobu: npobu 
use: use 
spanish: spanish 
section: section 
exhausting: exhausting 
bar: bar 
truglio: truglio 
miss: miss 
single: single 
worked: worked 
treacherous: treacherous 
interpolate: interpolate 
developer: developers 
matt: matt 
love: love 
person: person 
feel: feel 
hayley: hayley 
dantdm: dantdm 
hot: hot 
mind: mind 
pull: pull 
screen: screen 
boyce: boyce 
outro: outro 
wardrobe: wardrobe 
park: park 
engineer: engineer 
earworm: earworm 
trust: trust 
jocelyn: jocelyn 
run: run 
drive: drive 
released: released 
ugh: ugh 
also: also 
north: north 
cooler: cooler 
pomplamoose: pomplamoose 
rock: rock 
designed: designed 
em: em 
ky: ky 
noah: noah 
bellas: bellas 
ask: ask 
recorded: recorded 
peach: peaches 
breakup: breakup 
usa: usa 
joann: joann 
meticulously: meticulously 
red: red 
continue: continue 
musical: musical 
remixes: remixes 
dance: dance 
traducciones: traducciones 
dj: dj 
started: started 
scene: scene 
k: k 
