feeling: feelings feeling 
adam: adam 
q: q 
think: think 
around: around 
created: created 
together: together 
world: world 
healy: healy 
guitar: guitar 
know: know 
hit: hit 
rescue: rescue 
wrote: wrote 
search: search 
brasil: brasil 
title: title 
denied: denied 
happened: happened 
g: g 
december: december 
vocalist: vocalists vocalist 
might: might 
r: r 
pedal: pedal 
rashawn: rashawn 
contributor: contributor contributors 
feature: feature 
genius: genius 
america: america 
understand: understand 
people: people 
end: end 
birthday: birthday 
even: even 
tale: tale 
quite: quite 
c: c 
includes: includes 
credit: credits 
scholar: scholars 
second: second 
george: george 
ross: ross 
wish: wish wishes 
keyboard: keyboard 
record: records record 
name: name 
ooh: ooh 
slightly: slightly 
live: live 
type: type 
apple: apple 
streaming: streaming 
chart: charts 
fire: fire 
net: net 
source: source 
waugh: waugh 
learn: learn 
album: album 
sell: sell 
trumpet: trumpet 
collarbone: collarbone 
low: low 
etc: etc 
revealed: revealed 
embed: embed 
matty: matty 
recording: recording 
nice: nice 
house: house 
featured: featured 
guideline: guidelines 
first: first 
falling: falling 
studio: studio 
track: track 
jesus: jesus 
country: country 
phoebe: phoebe 
b: b 
w: w 
much: much 
biggest: biggest 
knowledge: knowledge 
greta: greta 
fortunately: fortunately 
bold: bold 
twin: twin 
something: something 
shared: shared 
cancel: cancel 
verified: verified 
advertise: advertise 
robin: robin 
part: parts part 
bridgers: bridgers 
bit: bit 
noacf: noacf 
need: needs 
playing: playing 
portugu: portugu 
leaf: leaves 
making: making 
f: f 
transcription: transcription 
e: es e 
programmer: programmer 
never: never 
produced: produced 
activist: activist 
promote: promote 
door: door 
call: call 
seed: seed 
saxophone: saxophone 
shy: shy 
lucky: lucky 
ultimate: ultimate 
song: songs song 
broken: broken 
august: august 
tag: tags 
early: early 
via: via 
ben: ben 
always: always 
car: cars 
production: production 
tonight: tonight 
macdonald: macdonald 
masturbate: masturbate 
snow: snow 
teased: teased 
state: state 
polydor: polydor 
happy: happy 
header: headers 
guest: guest 
texture: texture 
horn: horns 
able: able 
press: press 
bass: bass 
holding: holdings 
inquiry: inquiry 
dirty: dirty 
mike: mike 
brief: brief 
note: notes 
read: read 
privacy: privacy 
insight: insight 
z: z 
twice: twice 
like: like 
job: jobs 
phonographic: phonographic 
every: every 
answer: answer 
alternative: alternative 
ambience: ambience 
question: question 
line: lines 
uk: uk 
paired: paired 
frail: frail 
visit: visit 
wanted: wanted 
solely: solely 
synthesizer: synthesizer 
form: form 
make: make 
individual: individual 
contact: contact 
collaborated: collaborated 
comment: comments comment 
easy: easy 
llc: llc 
date: date 
shop: shop 
interscope: interscope 
believe: believe 
tradu: tradu 
format: format 
steel: steel 
worry: worry 
said: said 
drop: drop 
music: music 
add: add 
atheist: atheist 
water: water 
sixth: sixth 
ml: ml 
gilmore: gilmore 
reminded: reminded 
april: april 
thunberg: thunberg 
acoustic: acoustic 
v: v 
bless: bless 
sarcastic: sarcastic 
plane: planes 
next: next 
instagram: instagram 
mastering: mastering 
john: john 
different: different 
lester: lester 
label: label 
vocal: vocals 
u: us u 
bagsy: bagsy 
chorus: chorus 
information: information 
head: head 
expand: expand 
apparent: apparent 
environmental: environmental 
forum: forum 
cupid: cupid 
copyright: copyright 
yeah: yeah 
round: round 
h: h 
tone: tone 
lyrical: lyrical 
written: written 
policy: policy 
online: online 
sings: sings 
n: n 
folk: folk 
release: release 
ever: ever 
shiny: shiny 
l: l 
sign: sign 
idea: idea 
girl: girl 
artist: artists 
collection: collection 
p: p 
back: back 
mark: marks 
post: post 
verse: verse 
soil: soil 
fourth: fourth 
distant: distant 
licensing: licensing 
share: share 
transcriber: transcribers 
turn: turn 
matthew: matthew 
guy: guys 
conditional: conditional 
come: comes 
distinguish: distinguish 
performing: performing 
view: view 
double: double 
everything: everything 
x: x 
repeating: repeating 
guide: guide 
commentary: commentary 
annotation: annotation 
life: lives 
show: show 
term: terms 
hann: hann 
lyric: lyric lyrics 
see: sees 
version: version 
party: party 
featuring: featuring 
god: god 
got: got 
check: check 
really: really 
daniel: daniel 
translation: translations 
fact: facts 
personal: personal 
say: say 
promotional: promotional 
italic: italics 
crossey: crossey 
christ: christ 
schmidt: schmidt 
mixing: mixing 
relationship: relationships 
tell: tells 
j: j 
british: british 
use: use 
section: section 
time: time 
video: videos 
developer: developers 
anybody: anybody 
tree: tree 
love: love 
searching: searching 
hot: hot 
mind: mind 
nothing: nothing 
boy: boy 
engineer: engineer 
sea: sea 
claire: claire 
also: also 
suggesting: suggesting 
irony: irony 
backup: backup 
rock: rock 
em: em 
ask: ask 
peach: peaches 
minimal: minimal 
go: goes 
footprint: footprint 
roadkill: roadkill 
musical: musical 
fragment: fragments 
let: let 
jonathan: jonathan 
k: k 
