bed: beds 
q: q 
first: first 
phenix: phenix 
perform: perform 
track: track 
machine: machine 
performance: performances 
question: question 
created: created 
monday: monday 
verse: verse 
world: world 
line: lines 
country: country 
licensing: licensing 
dog: dogs 
share: share 
dann: dann 
word: words 
transcriber: transcribers 
birmingham: birmingham 
b: b 
high: high 
rescue: rescue 
outlaw: outlaws 
visit: visit 
riley: riley 
gonna: gonna 
harnen: harnen 
shake: shake 
search: search 
often: often 
debuted: debuted 
w: w 
make: make 
number: numbers 
individual: individual 
contact: contact 
friday: friday 
could: could 
comment: comments comment 
knowledge: knowledge 
biggest: biggest 
llc: llc 
would: would 
date: date 
shop: shop 
g: g 
bank: bank 
distinguish: distinguish 
overseas: overseas 
bold: bold 
vocalist: vocalists 
huff: huff 
kid: kids 
light: light 
sunday: sunday 
grandpa: grandpas 
road: road 
closing: closing 
bridge: bridge 
scoop: scoop 
twin: twin 
format: format 
mornin: mornin 
cover: covers 
happen: happen 
might: might 
view: view 
cancel: cancel 
r: r 
verified: verified 
pre: pre 
everything: everything 
old: old 
bio: bio 
x: x 
drop: drop 
music: music 
advertise: advertise 
repeating: repeating 
guide: guide 
kiss: kiss 
inside: inside 
night: nights 
contributor: contributor 
add: add 
buford: buford 
part: parts part 
big: big 
jimmy: jimmy 
term: terms 
mine: mine 
bud: bud 
ml: ml 
sold: sold 
lyric: lyric lyrics 
price: price 
version: version 
lost: lost 
chart: chart charts 
billboard: billboard 
genius: genius 
understand: understand 
cotton: cotton 
v: v 
got: got 
check: check 
e: e 
alabama: alabama 
end: end 
get: get 
honky: honky 
even: even 
fact: facts 
say: say 
personal: personal 
italic: italics 
singer: singer 
different: different 
girl: girls girl 
farm: farms 
transcription: transcription 
man: man 
f: f 
never: never 
c: c 
school: school 
gas: gas 
city: city 
produced: produced 
j: j 
cold: cold 
learned: learned 
label: label 
start: start 
break: break 
credit: credits 
day: day 
seventeen: seventeen 
chevrolet: chevrolet 
use: use 
u: us u 
promote: promote 
scholar: scholars 
loved: loved 
section: section 
knew: knew 
songwriter: songwriter 
wish: wish 
named: named 
chorus: chorus 
record: records 
leave: leave 
team: teams 
information: information 
expand: expand 
right: right 
time: time 
video: videos 
developer: developers 
still: still 
felt: felt 
forum: forum 
ultimate: ultimate 
cupid: cupid 
live: live 
type: type 
angel: angel 
swing: swing 
song: song songs 
love: love 
beer: beer 
tried: tried 
copyright: copyright 
hand: hand 
drinkin: drinkin 
diamond: diamond 
ballad: ballad 
hot: hot 
truck: truck 
round: round 
broken: broken 
runnin: runnin 
august: august 
source: source 
played: played 
tag: tags 
learn: learn 
porch: porch 
h: h 
car: cars 
always: always 
green: green 
heart: hearts 
written: written 
ring: rings 
run: run 
drive: drive 
hard: hard 
memorial: memorial 
everybody: everybody 
policy: policy 
also: also 
state: state 
n: n 
tonks: tonks 
sell: sell 
release: release 
header: headers 
dustin: dustin 
happy: happy 
ask: ask 
l: l 
home: home 
caught: caught 
press: press 
sign: sign 
low: low 
holding: holdings 
peach: peaches 
week: week 
died: died 
radio: radio 
etc: etc 
sir: sir 
mama: mama 
embed: embed 
bond: bonds 
musical: musical 
january: january 
th: th 
artist: artists 
privacy: privacy 
featured: featured 
copperhead: copperhead 
insight: insight 
cooler: coolers 
creek: creek 
z: z 
closin: closin 
lendon: lendon 
hulett: hulett 
grey: grey 
k: k 
like: like 
gave: gave 
good: good 
collection: collection 
bettin: bettin 
guideline: guidelines 
job: jobs 
p: p 
every: every 
answer: answer 
back: back 
