duke: duke 
aretha: aretha 
go: go goes 
interpolate: interpolate 
womack: womack 
disco: disco 
judgement: judgement 
amusing: amusing 
created: created 
transcriber: transcribers 
course: course 
nazarin: nazarin 
mckinney: mckinney 
benedict: benedict 
folk: folk 
curtis: curtis 
ya: ya 
explanation: explanation 
sometimes: sometimes 
ross: ross 
start: start 
running: running 
travis: travis 
side: side 
see: sees see 
gil: gil 
put: put 
lucca: lucca 
king: king 
engineer: engineer 
date: date 
bed: bed 
canada: canada 
q: q 
v: v 
recording: recording 
later: later 
release: release 
crazy: crazy 
personal: personal 
twin: twin 
spanish: spanish 
rutherford: rutherford 
fanny: fanny fannys 
movie: movies 
richard: richard 
joe: joe 
would: would 
peter: peter 
robbie: robbie 
wheel: wheel 
devil: devil 
type: type 
people: people 
retrospect: retrospect 
june: june 
garth: garth 
sample: sample samples 
bu: bu 
feed: feed 
shelly: shelly 
yakus: yakus 
east: east 
cotten: cotten 
reached: reached 
weight: weight 
share: share 
real: real 
g: g 
line: lines line 
directly: directly 
love: love 
fillmore: fillmore 
life: life 
wait: wait 
thread: thread 
subtle: subtle 
rack: rack 
two: two 
sixty: sixties 
tell: tell tells 
got: got 
expand: expand 
swore: swore 
moses: moses 
pick: pick 
speight: speight 
get: get 
irony: irony 
hudson: hudson 
tag: tags 
americana: americana 
shall: shall 
kingdom: kingdom 
place: place 
perfectly: perfectly 
lars: lars 
lilholt: lilholt 
z: z 
recognize: recognize 
somebody: somebody 
known: known 
bout: bout 
miss: miss 
album: albums album 
young: young 
appears: appears 
rose: rose 
wilson: wilson 
modern: modern 
martin: martin 
viney: viney 
thinking: thinking 
always: always 
bold: bold 
view: view 
green: green 
biggest: biggest 
clearly: clearly 
privacy: privacy 
gotta: gotta 
lead: leads 
italic: italics 
u: us u 
mix: mixes 
matt: matt 
presumably: presumably 
nash: nash 
ackles: ackles 
right: right 
regard: regards 
header: headers 
frontal: frontal 
information: information 
waitin: waitin 
guideline: guidelines 
stay: stay 
man: man 
contributor: contributor contributors 
work: work 
many: many 
even: even 
head: head 
part: parts part 
understand: understand 
read: read 
first: first 
w: w 
impossibility: impossibility 
also: also 
ever: ever 
day: day 
sainthood: sainthood 
lee: lee 
background: background 
magazine: magazine 
moran: moran 
word: word 
drum: drums 
humor: humor 
track: track tracks 
know: know 
popular: popular 
hand: hand 
performance: performances 
country: country 
turned: turned 
shit: shit 
gonorrhea: gonorrhea 
believed: believed 
supremes: supremes 
cellar: cellar 
jr: jr 
credit: credits 
chorus: chorus 
musical: musical 
clap: clap 
insight: insight 
helm: helm 
bass: bass 
inspired: inspired 
chris: chris 
lack: lack 
levon: levon 
obvious: obvious 
source: source 
jason: jason 
friend: friend 
fog: fog 
long: long 
peaceful: peaceful 
sense: sense 
foresee: foresee 
believe: believe 
sinkin: sinkin 
member: member 
lay: lay 
term: terms 
filmmaker: filmmaker 
jensen: jensen 
r: r 
copyright: copyright 
july: july 
knowledge: knowledge 
surprisingly: surprisingly 
verified: verified 
thing: things thing 
visit: visit 
great: great 
sell: sell 
catching: catching 
low: low 
l: l 
search: search 
mission: mission 
joanna: joanna 
black: black 
expected: expected 
mann: manns 
new: new 
jay: jay 
feeling: feeling 
developer: developers 
climbed: climbed 
healey: healey 
york: york 
root: roots 
think: think 
press: press 
suzie: suzie 
modest: modest 
bay: bay 
boy: boy 
studio: studios studio 
acoustic: acoustic 
well: well 
fever: fever 
pink: pink 
rage: rage 
vocal: vocals 
betrayed: betrayed 
picked: picked 
rather: rather 
shop: shop 
ny: ny 
going: going 
nothin: nothin 
stick: stick 
dead: dead 
find: find 
jaime: jaime 
grinned: grinned 
hiof: hiof 
mavis: mavis 
though: though 
format: format 
section: section 
success: success 
caught: caught 
ml: ml 
claimed: claimed 
factory: factory 
back: back 
none: none 
weezer: weezer 
nazareth: nazareth 
world: world 
traveler: traveler 
ol: ol 
possibly: possibly 
band: band 
n: n 
lyric: lyric lyrics 
easily: easily 
bob: bob 
j: j 
artist: artists 
single: single 
january: january 
thought: thought 
panic: panic 
covered: covered 
asured: asured 
inspiration: inspiration 
becoming: becoming 
credited: credited 
stapleton: stapleton 
using: using 
un: un 
walking: walking 
looking: looking 
dog: dog 
twenty: twenty 
say: says say 
embed: embed 
holding: holdings 
transcription: transcription 
job: jobs 
resch: resch 
luis: luis 
formally: formally 
answer: answer 
learn: learn 
shook: shook 
cocker: cocker 
clear: clear 
frequently: frequently 
holy: holy 
wi: wi 
need: need 
dylan: dylan 
listen: listen 
turn: turn 
diana: diana 
version: version 
advertise: advertise 
downtown: downtown 
son: son 
oh: oh 
reference: references 
f: f 
fix: fix 
list: lists 
others: others 
lonesome: lonesome 
keep: keep 
fire: fire 
tracing: tracing 
hello: hello 
e: e 
talk: talk 
giant: giants 
individual: individual 
able: able 
ultimate: ultimate 
director: director 
jeff: jeff 
may: may 
vibe: vibe 
station: station 
bag: bag 
film: films 
okay: okay 
song: songs song 
humour: humour 
take: take 
initial: initial 
hide: hide 
live: live 
licensing: licensing 
ann: ann 
could: could 
manuel: manuel 
american: american 
give: give 
rotary: rotary 
hahn: hahn 
music: music 
veil: veil 
caledonia: caledonia 
contact: contact 
tfdi: tfdi 
favor: favor 
big: big 
disseminating: disseminating 
smith: smith 
double: double 
guitar: guitar 
named: named 
nj: nj 
sent: sent 
mean: mean 
tune: tune 
cannonball: cannonball 
posterior: posterior 
collection: collection 
grateful: grateful 
anna: anna 
franklin: franklin 
hot: hot 
entertaining: entertaining 
said: said 
one: one 
uel: uel 
saw: saw 
catch: catch 
certain: certain 
annotation: annotation 
released: released 
video: videos 
p: p 
tear: tears 
cassandra: cassandra 
osborne: osborne 
add: add 
check: check 
english: english 
temptation: temptations 
flood: flood 
sign: sign 
come: come 
let: let 
little: little 
mister: mister 
small: small 
annotationas: annotationas 
jackie: jackie 
k: k 
point: point 
might: might 
cupid: cupid 
billy: billy 
laugh: laughs 
updegraft: updegraft 
featured: featured 
comment: comment comments 
chester: chester 
hey: hey 
told: told 
ask: ask 
pulled: pulled 
danko: danko 
kind: kind 
parable: parable 
pressing: pressing 
true: true 
create: create 
biblical: biblical 
around: around 
free: free 
drop: drop 
staple: staples staple 
past: past 
chest: chest 
tony: tony 
load: load 
rescue: rescue 
maggie: maggie 
joan: joan 
h: h 
rex: rex 
three: three 
c: c 
guide: guide 
way: way 
canadian: canadian 
still: still 
viridiana: viridiana 
stadium: stadium 
top: top 
different: different 
yet: yet 
good: good 
musician: musician 
company: company 
promote: promote 
scholar: scholars 
forum: forum 
guy: guy 
distinguish: distinguish 
story: story 
another: another 
policy: policy 
verse: verse 
etc: etc 
fall: fall 
rick: rick 
peach: peaches 
someone: someone 
connection: connection 
rock: rock 
eric: eric 
church: church 
trying: trying 
surrealist: surrealist 
ft: ft 
inside: inside 
half: half 
use: use 
fact: facts 
vocalist: vocalists 
question: question 
like: like 
jack: jack 
broken: broken 
grasp: grasp 
experience: experience 
written: written 
something: something 
singer: singers 
heard: heard 
genius: genius 
b: b 
recorded: recorded 
city: city 
repeating: repeating 
year: years 
fascinated: fascinated 
byrde: byrde 
simon: simon 
time: time 
x: x 
deshannon: deshannon 
writing: writing 
robertson: robertson 
piano: piano 
harmony: harmony 
went: went 
interpretation: interpretation 
center: center 
cover: covers 
minute: minute 
carmen: carmen 
chart: charts 
girl: girl 
followed: followed 
everyone: everyone 
cancel: cancel 
produced: produced 
llc: llc 
john: john 
town: town 
really: really 
luke: luke 
rob: rob 
definitely: definitely 
