ignored: ignored 
go: go 
created: created 
transcriber: transcribers 
fast: fast 
blurry: blurry 
meadow: meadows 
dress: dress 
mayer: mayer 
empty: empty 
statement: statement 
put: put 
date: date 
traducciones: traducciones 
q: q 
third: third 
v: v 
later: later 
release: release 
dark: dark 
anything: anything 
messed: messed 
want: want 
personal: personal 
tonight: tonight 
spanish: spanish 
twin: twin 
handle: handle 
optimism: optimism 
would: would 
home: home 
type: type 
people: people 
everyday: everyday 
speak: speak 
losing: losing 
mention: mention 
purposefully: purposefully 
orchestral: orchestral 
email: email 
share: share 
usually: usually 
whole: whole 
g: g 
line: lines line 
sad: sad 
never: never 
directly: directly 
love: love 
two: two 
life: life 
synthesizer: synthesizer 
expand: expand 
high: high 
paint: paint 
swore: swore 
relationship: relationship 
shared: shared 
venting: venting 
night: nights 
get: get 
issue: issue 
treated: treated 
gap: gap 
tag: tags 
fly: fly 
z: z 
known: known 
vulnerable: vulnerable 
mind: mind 
streak: streak 
mine: mine 
young: young 
wilson: wilson 
cried: cried 
always: always 
bold: bold 
reflection: reflection 
view: view 
cause: cause 
angel: angel 
biggest: biggest 
keeping: keeping 
firework: fireworks 
privacy: privacy 
girl: girls girl 
italic: italics 
u: us u 
happy: happy 
throughout: throughout 
wondering: wondering 
pop: pop 
sort: sort 
header: headers 
information: information 
gossip: gossip 
espa: espa 
game: games game 
guideline: guidelines 
else: else 
stay: stay 
person: person 
contributor: contributor contributors 
traitor: traitors 
send: send 
even: even 
warning: warnings 
part: parts part 
understand: understand 
read: read 
w: w 
also: also 
ever: ever 
background: background 
magazine: magazine 
songwriter: songwriter 
reaction: reaction 
list: list 
name: name 
seen: seen 
pickin: pickin 
track: track 
know: know 
performance: performances performance 
country: country 
grow: grow 
dry: dry 
everything: everything 
phone: phone 
credit: credits 
doll: doll 
percussion: percussion 
chorus: chorus 
musical: musical 
insight: insight 
bass: bass 
used: used 
blind: blind 
somewhere: somewhere 
obvious: obvious 
source: source 
long: long 
adult: adult 
term: terms 
skin: skin 
blame: blame 
multiple: multiple 
copyright: copyright 
r: r 
outro: outro 
knowledge: knowledge 
match: matches 
footstep: footsteps 
verified: verified 
visit: visit 
priority: priority 
sell: sell 
rule: rules 
