go: go goes 
six: six 
interpolate: interpolate 
rhett: rhett 
shane: shane 
street: streets 
interpolation: interpolations 
created: created 
transcriber: transcribers 
spent: spent 
patient: patient 
fast: fast 
south: south 
upchurch: upchurch 
folk: folks 
musically: musically 
headed: headed 
put: put 
date: date 
q: q 
drinkin: drinkin 
ali: ali 
grass: grass 
genre: genre 
v: v 
recording: recording 
release: release 
want: want 
le: less 
personal: personal 
twin: twin 
whatsoever: whatsoever 
chair: chair 
would: would 
record: record 
type: type 
traditionally: traditionally 
june: june 
people: people 
taken: taken 
hopefully: hopefully 
sample: sample samples 
curve: curves curve 
share: share 
lethal: lethal 
whole: whole 
g: g 
line: lines 
never: never 
love: love 
life: life 
josh: josh 
abandoned: abandoned 
lighthearted: lighthearted 
tell: tell 
cover: cover covers 
got: got 
expand: expand 
slow: slow 
get: get 
hoping: hoping 
link: link 
tag: tags 
inch: inch 
ago: ago 
z: z 
house: house 
bout: bout 
remixes: remixes 
loyalty: loyalty 
nowadays: nowadays 
young: young 
sinning: sinning 
always: always 
sweet: sweet 
bold: bold 
view: view 
zach: zach 
biggest: biggest 
forget: forget 
filled: filled 
privacy: privacy 
italic: italics 
u: us u 
hurry: hurry 
plan: plan 
happy: happy 
awesome: awesome 
breaking: breaking 
leroy: leroy 
right: right 
pop: pop 
header: headers 
information: information 
guideline: guidelines 
compartmentalize: compartmentalize 
cadillac: cadillac 
road: road 
man: man 
contributor: contributor contributors 
even: even 
part: parts part 
understand: understand 
read: read 
first: first 
w: w 
breeze: breeze 
ode: ode 
also: also 
planning: planning 
opposite: opposite 
lee: lee 
songwriter: songwriter 
seen: seen 
optimist: optimist 
together: together 
established: established 
smile: smile 
carve: carve 
track: track 
know: know 
melton: melton 
rucka: rucka 
hand: hand 
performance: performances 
country: country 
radio: radio 
boundary: boundaries 
help: help 
reach: reach 
body: body 
forward: forward 
niche: niche 
fifteen: fifteen 
credit: credits 
process: process 
chorus: chorus 
brown: brown 
musical: musical 
debut: debut 
walk: walk 
insight: insight 
inspired: inspired 
take: takes take 
tall: tall 
billboard: billboard 
number: number 
source: source 
term: terms 
fianc: fianc 
hat: hats 
r: r 
copyright: copyright 
outro: outro 
knowledge: knowledge 
verified: verified 
visit: visit 
sell: sell 
year: year years 
l: l 
search: search 
lot: lot 
injektion: injektion 
new: new 
flo: flo 
dyke: dyke 
continue: continue 
developer: developers 
spend: spend 
cool: cool 
bird: birds 
february: february 
closed: closed 
group: group 
press: press 
requires: requires 
well: well 
necessarily: necessarily 
inspiring: inspiring 
state: state 
shop: shop 
highway: highway 
fanbase: fanbase 
eye: eyes 
going: going 
stick: stick 
dead: dead 
easy: easy 
within: within 
tour: tour 
format: format 
section: section 
success: success 
taking: taking 
hard: hard 
heaven: heaven 
ml: ml 
forever: forever 
back: back 
kane: kane 
honey: honey 
israel: israel 
lately: lately 
world: world 
fit: fit 
mcanally: mcanally 
n: n 
doin: doin 
lyric: lyric lyrics 
nashville: nashville 
uplifting: uplifting 
j: j 
one: ones one 
artist: artists 
boondocks: boondocks 
hannah: hannah 
started: started 
embed: embed 
holding: holdings 
transcription: transcription 
braid: braids 
job: jobs 
hip: hips 
answer: answer 
learn: learn 
album: album 
tangled: tangled 
label: label 
need: need 
turn: turn 
hair: hair 
version: version 
advertise: advertise 
downtown: downtown 
awareness: awareness 
f: f 
montevallo: montevallo 
outside: outside 
e: e 
fun: fun 
individual: individual 
ultimate: ultimate 
hunt: hunt 
alex: alex 
song: songs song 
initial: initial 
live: live 
licensing: licensing 
engaged: engaged 
music: music 
contact: contact 
feel: feel feels 
tune: tune 
collection: collection 
least: least 
belt: belt 
next: next 
hot: hot 
united: united 
crowell: crowell 
said: said 
fell: fell 
old: old 
lip: lips 
annotation: annotation 
took: took 
video: videos 
p: p 
earworm: earworm 
osborne: osborne 
add: add 
check: check 
sign: sign 
let: let 
little: little 
kinfolk: kinfolks 
since: since 
peaked: peaked 
k: k 
might: might 
cupid: cupid 
previously: previously 
featured: featured 
comment: comment comments 
much: much 
held: held 
mca: mca 
say: say 
ask: ask 
com: com 
enjoy: enjoy 
kind: kind 
racist: racist 
create: create 
van: van 
drop: drop 
room: room 
past: past 
alternative: alternative 
stylistically: stylistically 
mmm: mmm 
blue: blue 
helped: helped 
longer: longer 
songwriting: songwriting 
rescue: rescue 
thirty: thirty 
universal: universal 
h: h 
c: c 
better: better 
apologetic: apologetic 
way: way 
guide: guide 
still: still 
backroad: backroad 
fowler: fowler 
different: different 
bridge: bridge 
fan: fans 
promote: promote 
jean: jeans 
creative: creative 
scholar: scholars 
forum: forum 
whether: whether 
distinguish: distinguish 
story: story 
policy: policy 
verse: verse 
etc: etc 
fall: fall 
peach: peaches 
getting: getting 
hanging: hanging 
beautiful: beautiful 
inside: inside 
use: use 
try: try 
predictive: predictive 
studio: studio 
fact: facts 
vocalist: vocalists 
dj: dj 
question: question 
board: board 
like: like 
broken: broken 
written: written 
text: text 
soon: soon 
singer: singer 
southside: southside 
lead: lead 
successful: successful 
genius: genius 
b: b 
chart: chart charts 
repeating: repeating 
time: time 
x: x 
sam: sam 
broke: broke 
writing: writing 
thick: thick 
drivin: drivin 
direction: direction 
wanted: wanted 
girl: girl 
week: weeks 
every: every 
mile: mile 
cancel: cancel 
produced: produced 
llc: llc 
freedom: freedom 
seat: seats 
girlfriend: girlfriend 
wearing: wearing 
box: box 
serious: serious 
rida: rida 
really: really 
definitely: definitely 
last: lasts 
see: see 
nothing: nothing 
