yank: yank 
rogers: rogers 
created: created 
transcriber: transcribers 
port: port 
complaint: complaint 
hornpipe: hornpipe 
yankee: yankee 
folk: folk 
cook: cook 
fight: fight 
halifax: halifax 
side: side 
note: notes 
king: king 
put: put 
date: date 
q: q 
brave: brave 
alestorm: alestorm 
god: god 
v: v 
release: release 
smashed: smashed 
report: reports 
scupper: scuppers 
cracked: cracked 
fat: fat 
personal: personal 
twin: twin 
break: breaks break 
joensen: joensen 
would: would 
fiddler: fiddler 
record: record 
stove: stove 
type: type 
people: people 
share: share 
real: real 
whole: whole 
g: g 
line: lines 
love: love 
two: two 
plenty: plenty 
mcguinness: mcguinness 
expand: expand 
completely: completely 
get: get 
gun: guns 
rag: rags 
tag: tags 
scummiest: scummiest 
z: z 
session: session 
hove: hove 
cried: cried 
fogarty: fogarty 
modern: modern 
came: came 
always: always 
crew: crew 
bold: bold 
stay: stays 
view: view 
green: green 
howell: howell 
biggest: biggest 
privacy: privacy 
shed: shed 
singing: singing 
italic: italics 
four: four 
u: us u 
happy: happy 
leg: legs 
harbour: harbour 
heri: heri 
mckenzies: mckenzies 
awful: awful 
light: lights 
cove: cove 
header: headers 
information: information 
guideline: guidelines 
place: places 
man: man 
contributor: contributor contributors 
many: many 
even: even 
scotian: scotian 
part: parts part 
understand: understand 
edmonton: edmonton 
read: read 
w: w 
also: also 
pumping: pumping 
ever: ever 
day: day days 
songwriter: songwriter 
broad: broad 
rd: rd 
list: list 
seen: seen 
track: track 
country: country 
length: length 
grow: grow 
credit: credits 
chorus: chorus 
musical: musical 
insight: insight 
inspired: inspired 
thanks: thanks 
anthem: anthem 
truck: truck 
source: source 
bowl: bowl 
lay: lay 
term: terms 
r: r 
copyright: copyright 
knowledge: knowledge 
stage: stage 
carried: carried 
verified: verified 
visit: visit 
great: great 
sell: sell 
sea: sea seas 
din: din 
year: year years 
low: low 
l: l 
search: search 
shore: shore 
reprise: reprise 
developer: developers 
performing: performing 
al: al 
popularity: popularity 
circumstance: circumstances 
ball: ball 
press: press 
bay: bay 
letter: letter 
sight: sight 
fisherman: fisherman fishermen 
shop: shop 
gold: gold 
stagger: staggers 
format: format 
section: section 
ml: ml 
last: last 
pitched: pitched 
sickening: sickening 
performance: performance 
seventy: seventies 
world: world 
paul: paul 
wreck: wreck 
n: n 
lyric: lyric lyrics 
main: main 
th: th 
j: j 
artist: artists 
covered: covered 
cruise: cruise 
twenty: twenty 
maid: maid 
birthday: birthday 
embed: embed 
holding: holdings 
transcription: transcription 
job: jobs 
montego: montego 
egg: eggs 
watching: watching 
wish: wish 
answer: answer 
learn: learn 
shook: shook 
apple: apples 
album: album 
bill: bill 
version: version 
advertise: advertise 
oh: oh 
men: men 
rawdon: rawdon 
f: f 
fire: fire 
make: make 
damn: damn 
e: e 
individual: individual 
away: away 
ultimate: ultimate 
athens: athens 
queen: queen 
song: songs song 
sailed: sailed 
live: live 
licensing: licensing 
american: american 
music: music 
contact: contact 
especially: especially 
bloody: bloody 
mill: mills 
collection: collection 
shanty: shanty 
sloop: sloop 
hot: hot 
said: said 
one: one 
giant: giant 
catch: catch 
sherbrooke: sherbrooke 
annotation: annotation 
released: released 
took: took 
outgrown: outgrown 
video: videos 
p: p 
tear: tears 
oddest: oddest 
unofficial: unofficial 
made: made 
elcid: elcid 
add: add 
check: check 
sign: sign 
barrett: barrett 
expectation: expectations 
since: since 
k: k 
might: might 
cupid: cupid 
finch: finch 
featured: featured 
comment: comment comments 
wharf: wharf 
style: style 
told: told 
ask: ask 
notably: notably 
antelope: antelope 
northern: northern 
vessel: vessel 
drop: drop 
festival: festival 
colm: colm 
hill: hills 
rescue: rescue 
h: h 
stan: stan 
c: c 
way: way 
guide: guide 
canadian: canadian 
different: different 
stood: stood 
promote: promote 
scholar: scholars 
forum: forum 
navy: navy 
distinguish: distinguish 
story: story 
policy: policy 
verse: verse 
etc: etc 
sail: sails 
peach: peaches 
sic: sic 
yesterday: yesterday 
ft: ft 
strangest: strangest 
use: use 
fact: facts 
vocalist: vocalists 
loose: loose 
question: question 
best: best 
like: like 
broken: broken 
written: written 
pier: pier 
marque: marque 
singer: singer 
genius: genius 
apparently: apparently 
b: b bs 
institution: institutions 
nova: nova 
repeating: repeating 
friend: friends 
bor: bor 
cable: cables 
x: x 
madman: madmen 
cover: covers 
image: image 
chart: charts 
every: every 
privateer: privateers 
cancel: cancel 
produced: produced 
llc: llc 
pounder: pounders 
town: town 
jag: jags 
royal: royal 
integral: integral 
liner: liner 
