go: go 
leaving: leaving 
baby: baby 
created: created 
transcriber: transcribers 
tune: tunes 
marriage: marriage 
camp: camp 
existing: existing 
done: done 
fear: fear 
love: loves love 
scsp: scsp 
engineer: engineer 
date: date 
bed: bed 
traducciones: traducciones 
mixing: mixing 
q: q 
v: v 
afraid: afraid 
huge: huge 
release: release 
portugu: portugu 
want: want 
personal: personal 
vice: vice 
twin: twin 
spanish: spanish 
leave: leave 
joe: joe 
peter: peter 
home: home 
liar: liar 
impact: impact 
type: type 
rhys: rhys 
kobalt: kobalt 
socan: socan 
share: share 
making: making 
g: g 
line: lines 
sad: sad 
never: never 
life: life 
two: two 
tell: tell 
got: got 
expand: expand 
high: high 
relationship: relationship 
alone: alone 
get: get 
issue: issue 
e: es e 
tag: tags 
z: z 
open: open 
session: session 
remixes: remixes 
ritter: ritter 
young: young 
ep: ep 
apra: apra 
always: always 
thinking: thinking 
brasil: brasil 
bold: bold 
atv: atv 
view: view 
cause: cause 
co: co 
sony: sony 
biggest: biggest 
royalty: royalties 
privacy: privacy 
thief: thief 
italic: italics 
u: us u 
bedroom: bedroom 
tryna: tryna 
anxiety: anxiety 
right: right rights 
visuals: visuals 
pop: pop 
header: headers 
current: current 
miller: miller 
information: information 
espa: espa 
guideline: guidelines 
stay: stay 
bridge: bridges bridge 
person: person 
road: road 
distributor: distributor 
contributor: contributor contributors 
harding: harding 
even: even 
sound: sound 
part: parts part 
understand: understand 
read: read 
first: first 
w: w 
also: also 
editor: editor 
ever: ever 
enough: enough 
overwhelmed: overwhelmed 
day: day days 
accompanied: accompanied 
reaction: reaction 
em: em 
track: track 
know: know 
country: country 
shit: shit 
everything: everything 
credit: credits 
chorus: chorus 
musical: musical 
insight: insight 
perform: perform 
inspired: inspired 
end: end 
heartbreak: heartbreak 
billboard: billboard 
source: source 
dying: dying 
certification: certifications 
long: long 
nolan: nolan 
maren: maren 
term: terms 
felt: felt 
jesus: jesus 
thank: thank 
copyright: copyright 
r: r 
outro: outro 
july: july 
knowledge: knowledge 
verified: verified 
here: heres 
thing: things 
visit: visit 
sell: sell 
instagram: instagram 
production: production 
year: year years 
everybody: everybody 
l: l 
search: search 
lot: lot 
amounted: amounted 
tho: tho 
emilie: emilie 
heart: heart 
move: move 
mastering: mastering 
wonder: wonder 
noah: noah 
sample: samples 
holding: holding holdings 
developer: developers 
reason: reason 
lewis: lewis 
think: think 
lonely: lonely 
extremely: extremely 
al: al 
group: group 
wrong: wrong 
press: press 
well: well 
shop: shop 
realized: realized 
going: going 
michael: michaels michael 
jiorgi: jiorgi 
find: find 
grasso: grasso 
format: format 
section: section 
hard: hard 
ml: ml 
last: last 
performance: performance 
back: back 
already: already 
agree: agree 
julia: julia 
world: world 
ol: ol 
kmr: kmr 
n: n 
lyric: lyric lyrics 
th: th 
j: j 
artist: artists 
portuguese: portuguese 
single: single 
ii: ii 
started: started 
remind: remind 
counting: counting 
talking: talking 
embed: embed 
transcription: transcription 
job: jobs 
breakup: breakup 
ghost: ghost 
answer: answer 
learn: learn 
emotional: emotional 
versa: versa 
far: far 
ex: ex 
label: label 
sarah: sarah 
record: records 
version: version 
advertise: advertise 
commentary: commentary 
piece: pieces piece 
hear: hear 
comfortable: comfortable 
depressed: depressed 
f: f 
whenever: whenever 
sit: sit 
beer: beers 
columbia: columbia 
dorothy: dorothy 
bali: bali 
bad: bad 
lifetime: lifetime 
lagg: lagg 
individual: individual 
away: away 
phonographic: phonographic 
cloud: clouds 
able: able 
ultimate: ultimate 
director: director 
toxic: toxic 
leon: leon 
song: songs song 
gunstveit: gunstveit 
licensing: licensing 
anyway: anyway 
music: music 
contact: contact 
feel: feel feels 
collection: collection 
honest: honest 
tradu: tradu 
remix: remix 
hot: hot 
change: change 
said: said 
second: second 
one: one 
saw: saw 
video: video videos 
annotation: annotation 
million: million 
traducci: traducci 
guess: guess 
p: p 
tear: tears 
made: made 
add: add 
check: check 
sign: sign 
little: little 
telling: telling 
via: via 
k: k 
point: point 
straight: straight 
might: might 
polygram: polygram 
cupid: cupid 
featured: featured 
comment: comment comments 
ask: ask 
ballad: ballad 
stayed: stayed 
darling: darling 
around: around 
drop: drop 
wrote: wrote 
room: room 
past: past 
breath: breath 
scared: scared 
entertainment: entertainment 
bmi: bmi 
write: write 
trip: trip 
rescue: rescue 
universal: universal 
h: h 
loving: loving 
c: c 
better: better 
guide: guide 
translation: translation translations 
still: still 
different: different 
producer: producer 
erlend: erlend 
good: good 
publisher: publisher 
promote: promote 
scholar: scholars 
forum: forum 
whether: whether 
distinguish: distinguish 
story: story 
sixth: sixth 
another: another 
policy: policy 
verse: verse 
etc: etc 
peach: peaches 
someone: someone 
getting: getting 
eric: eric 
ft: ft 
inside: inside 
half: half 
use: use 
fact: facts 
vocalist: vocalists 
cyrus: cyrus 
question: question 
like: like 
broken: broken 
written: written 
something: something 
jmp: jmp 
ten: ten 
genius: genius 
b: b 
bag: bags 
repeating: repeating 
time: time 
x: x 
writing: writing 
pack: pack 
pre: pre 
went: went 
break: break 
cover: covers 
chart: charts 
every: every 
cancel: cancel 
produced: produced 
llc: llc 
throwing: throwing 
really: really 
sonier: sonier 
definitely: definitely 
nothing: nothing 
