hero: hero 
created: created 
transcriber: transcribers 
done: done 
nonbinary: nonbinary 
ya: ya 
sometimes: sometimes 
wry: wry 
running: running 
rich: rich 
put: put 
date: date 
q: q 
collaboration: collaboration 
v: v 
wheel: wheels 
release: release 
personal: personal 
traditionally: traditionally 
type: type 
people: people 
sunday: sunday sundays 
pt: pt 
crooner: crooners 
share: share 
g: g 
line: lines 
love: love 
suffice: suffice 
cigarette: cigarettes 
expand: expand 
get: get gets 
ring: ring 
tag: tags 
place: place 
z: z 
lauren: lauren 
drunk: drunk 
wash: wash 
cross: cross 
interview: interview 
bold: bold 
view: view 
hotter: hotter 
biggest: biggest 
privacy: privacy 
lead: leads 
girl: girls 
italic: italics 
u: us u 
depth: depth 
happy: happy 
right: right 
wonderful: wonderful 
header: headers 
information: information 
choir: choir 
guideline: guidelines 
road: road 
contributor: contributor contributors 
many: many 
even: even 
star: star 
part: parts part 
understand: understand 
read: read 
revival: revival 
w: w 
ode: ode 
also: also 
background: background 
soul: soul 
drum: drums 
track: track 
country: country 
radio: radio 
busbee: busbee 
st: st 
morris: morris 
marenmorris: marenmorris 
credit: credits 
chorus: chorus 
musical: musical 
us: uses 
zedd: zedd 
insight: insight 
lied: lied 
billboard: billboard 
source: source 
long: long 
maren: maren 
term: terms 
deborah: deborah 
drive: drives drive 
fallen: fallen 
copyright: copyright 
r: r 
knowledge: knowledge 
alfred: alfred 
verified: verified 
visit: visit 
sell: sell 
escape: escape 
l: l 
search: search 
lot: lot 
communicate: communicate 
merely: merely 
cash: cash 
heart: heart 
feeling: feeling feelings 
cussed: cussed 
heavy: heavy 
developer: developers 
come: comes 
window: windows 
scrolling: scrolling 
allen: allen 
press: press 
regina: regina 
clarkson: clarkson 
religious: religious 
acoustic: acoustic 
vocal: vocals 
shop: shop 
highway: highway 
singin: singin 
find: find 
beverly: beverly 
format: format 
section: section 
ranked: ranked 
ml: ml 
already: already 
aaron: aaron 
world: world 
npr: npr 
redemption: redemption 
yeah: yeah 
n: n 
nashville: nashville 
lyric: lyric lyrics 
j: j 
described: described 
artist: artists artist 
january: january 
single: single 
status: status 
moved: moved 
inspiration: inspiration 
play: play 
fm: fm 
embed: embed 
holding: holdings 
transcription: transcription 
job: jobs 
ghost: ghost 
wish: wish 
answer: answer 
learn: learn 
female: female 
holy: holy 
need: need 
sin: sins 
turn: turn 
twitter: twitter 
advertise: advertise 
call: call 
gone: gone 
f: f 
keep: keep 
fire: fire 
e: e 
sugar: sugar 
iu: iu 
individual: individual 
away: away 
ultimate: ultimate 
greatest: greatest 
brings: brings 
driving: driving 
song: songs song 
live: live 
time: times 
saying: saying 
licensing: licensing 
could: could 
music: music 
contact: contact 
smith: smith 
wordplay: wordplay 
medium: media 
guitar: guitar 
derek: derek 
sermon: sermon 
collection: collection 
belt: belt 
packed: packed 
hot: hot 
said: said 
second: second 
annotation: annotation 
major: major 
cussing: cussing 
thing: thing 
video: videos 
guess: guess 
p: p 
made: made 
amen: amen 
add: add 
check: check 
english: english 
space: space 
sign: sign 
car: car 
rhetoric: rhetoric 
cry: cry 
feel: feels 
rolling: rolling 
k: k 
might: might 
shelf: shelf 
tried: tried 
featured: featured 
comment: comment comments 
spencer: spencer 
ask: ask 
com: com 
grace: grace 
around: around 
drop: drop 
wrote: wrote 
wind: wind 
write: write 
songwriting: songwriting 
middle: middle 
rescue: rescue 
h: h 
faith: faith 
cheated: cheated 
soar: soars 
c: c 
translation: translation 
guide: guide 
hallelujah: hallelujah 
way: way 
precursor: precursor 
electric: electric 
different: different 
mccrary: mccrary 
company: company 
agust: agust 
promote: promote 
scholar: scholars 
forum: forum 
award: award awards 
distinguish: distinguish 
another: another 
policy: policy 
verse: verse 
etc: etc 
hank: hank 
kelly: kelly 
connection: connection 
dial: dial 
church: church 
ft: ft 
use: use 
fact: facts 
vocalist: vocalists 
bummin: bummin 
question: question 
like: like 
broken: broken 
written: written 
burnin: burnin 
genius: genius 
b: b 
http: https 
city: city 
repeating: repeating 
x: x 
medley: medley 
cold: cold 
mercedes: mercedes 
cover: covers 
chart: charts 
sterling: sterling 
every: every 
roll: roll 
cancel: cancel 
produced: produced 
well: wells 
llc: llc 
century: century 
