acted: acted 
cheap: cheap 
bone: bones 
created: created 
transcriber: transcribers 
become: become 
johnny: johnny 
cup: cup 
ops: ops 
outer: outer 
tying: tying 
draw: draw 
ya: ya 
across: across 
empty: empty 
travis: travis 
matthew: matthew 
date: date 
q: q 
rap: rap 
third: third 
v: v 
release: release 
bucket: bucket 
associate: associates 
street: street 
le: less 
personal: personal 
twin: twin 
crutch: crutch 
handle: handle 
scheming: scheming 
wheel: wheel 
iii: iii 
fame: fame 
type: type 
devil: devil 
people: people 
hit: hit hits 
yelawolf: yelawolf 
fool: fool 
kobalt: kobalt 
inheritance: inheritance 
weight: weight 
share: share 
mothafucka: mothafucka 
g: g 
line: lines line 
shoulder: shoulder 
bit: bit 
love: love 
two: two 
sharing: sharing 
slumerican: slumerican 
tell: tell 
disappear: disappear 
got: got 
expand: expand 
follow: follow 
mon: mon 
trailer: trailer 
clean: clean 
trash: trash 
tag: tags 
z: z 
remixes: remixes 
human: human 
hartnett: hartnett 
always: always 
complain: complain 
bold: bold 
mcd: mcd 
watch: watch 
view: view 
cause: cause 
aspect: aspect 
biggest: biggest 
destitute: destitute 
privacy: privacy 
gotta: gotta 
italic: italics 
u: us u 
happy: happy 
whiskey: whiskey 
right: right rights 
table: table 
obligation: obligations 
header: headers 
information: information 
guideline: guidelines 
road: road 
distributor: distributor 
man: man 
contributor: contributor contributors 
even: even 
lookin: lookin 
associated: associated 
shadyxv: shadyxv 
part: parts part 
understand: understand 
read: read 
w: w 
also: also 
bottle: bottle bottles 
fiddle: fiddle 
interscope: interscope 
enough: enough 
condition: condition 
hayes: hayes 
wanna: wanna 
em: em 
track: track 
know: know 
country: country 
bonus: bonus 
shit: shit 
chevy: chevy 
limit: limit 
goin: goin 
highwater: highwater 
credit: credits 
bug: bug 
chorus: chorus 
musical: musical 
walk: walk 
dishrag: dishrag 
insight: insight 
bass: bass 
token: token 
truck: truck 
finish: finish 
heartbreak: heartbreak 
owen: owens 
dish: dish 
source: source 
friend: friend 
ride: ride 
tent: tent 
september: september 
lay: lay 
term: terms 
official: official 
copyright: copyright 
r: r 
knowledge: knowledge 
verified: verified 
uh: uh 
kid: kid 
visit: visit 
sesac: sesac 
great: great 
sell: sell 
unless: unless 
l: l 
search: search 
push: push 
directed: directed 
black: black 
cash: cash 
shady: shady 
new: new 
episode: episode 
bus: bus 
heavy: heavy 
developer: developers 
tennessee: tennessee 
