la: la las 
va: va 
igual: igual 
muchos: muchos 
enorme: enorme 
created: created 
transcriber: transcribers 
yo: yo 
artistas: artistas 
mero: mero 
guitarra: guitarra 
cel: cel 
ser: ser 
llena: llena 
ni: ni 
mx: mx 
hay: hay 
ya: ya 
buenos: buenos 
esta: esta 
con: con 
start: start 
edge: edge 
pensarte: pensarte 
no: nos 
ando: ando 
running: running 
rich: rich 
refr: refr 
engineer: engineer 
date: date 
mixing: mixing 
q: q 
rap: rap 
oportunidad: oportunidad 
siento: siento 
v: v 
se: se 
release: release 
personal: personal 
twin: twin 
hab: hab 
tampoco: tampoco 
ajenos: ajenos 
puesto: puesto 
bloqueando: bloqueando 
empezamos: empezamos 
nom: nom 
type: type 
consolidado: consolidado 
intenci: intenci 
share: share 
han: han 
llevarlo: llevarlo 
g: g 
line: lines 
love: love 
por: por 
querer: querer 
toda: todas 
pasar: pasar 
vo: vo 
partes: partes 
urban: urban 
expand: expand 
mal: mal 
donde: donde 
alguien: alguien 
tuviera: tuviera 
e: es e 
del: del 
tag: tags 
disfrutar: disfrutar 
z: z 
dedicarle: dedicarle 
ahora: ahora 
cd: cd 
sica: sica 
estar: estar 
olvidarme: olvidarme 
cuarentena: cuarentena 
always: always 
siempre: siempre 
ella: ella 
barrera: barrera 
dejes: dejes 
bold: bold 
view: view 
amigo: amigos 
xico: xico 
pen: pens 
en: en 
biggest: biggest 
privacy: privacy 
scoop: scoop 
italic: italics 
u: us u 
amas: amas 
aventura: aventura 
pase: pase 
casi: casi 
happy: happy 
bio: bio 
bamos: bamos 
asada: asada 
compas: compas 
aire: aire 
repita: repita 
header: headers 
escrib: escrib 
information: information 
comercializar: comercializar 
espa: espa 
guideline: guidelines 
hartos: hartos 
rompiendo: rompiendo 
distributor: distributor 
contributor: contributor 
contesto: contesto 
even: even 
marc: marc 
olvidemos: olvidemos 
calma: calma 
part: parts part 
understand: understand 
estoy: estoy 
w: w 
denilson: denilson 
also: also 
volver: volver 
juntarnos: juntarnos 
para: para 
mexicano: mexicano 
asimilarlo: asimilarlo 
vemos: vemos 
siguen: siguen 
tras: tras 
entrevista: entrevista 
country: country 
ahuevo: ahuevo 
coro: coro 
jr: jr 
credit: credits 
chorus: chorus 
musical: musical 
hablando: hablando 
debut: debut 
insight: insight 
bebida: bebida 
tienes: tienes 
chris: chris 
acordarme: acordarme 
xito: xito 
billboard: billboard 
source: source 
sin: sin 
jayrick: jayrick 
nunca: nunca 
pensar: pensar 
bien: bien 
term: terms 
bebo: bebo 
meros: meros 
primary: primary 
copyright: copyright 
r: r 
outro: outro 
knowledge: knowledge 
christian: christian 
verified: verified 
tomarme: tomarme 
visit: visit 
sell: sell 
esto: esto 
paz: paz 
l: l 
search: search 
hasta: hasta 
vuelvo: vuelvo 
transmisi: transmisi 
mastering: mastering 
cont: cont 
aferro: aferro 
developer: developers 
que: que 
dando: dando 
aunque: aunque 
siendo: siendo 
letra: letra 
seguidores: seguidores 
al: al 
press: press 
amanecer: amanecer 
tiene: tiene 
est: est 
shop: shop 
puedo: puedo 
o: os 
format: format 
section: section 
molesto: molesto 
ml: ml 
puede: puede 
pensando: pensando 
artista: artista 
ver: ver 
dif: dif 
puse: puse 
mejor: mejor 
agarra: agarra 
ah: ah 
los: los 
fue: fue 
ayer: ayer 
world: world 
ol: ol 
lo: lo 
llama: llamas 
n: n 
resultado: resultado 
stone: stone 
creo: creo 
lyric: lyric lyrics 
cuando: cuando 
presiones: presiones 
j: j 
hizo: hizo 
artist: artists 
sentimental: sentimental 
miro: miro 
pero: pero 
depre: depre 
dicen: dicen 
un: un 
dejar: dejar 
embed: embed 
holding: holdings 
como: como 
transcription: transcription 
job: jobs 
luis: luis 
dio: dio 
answer: answer 
learn: learn 
agarr: agarr 
comenz: comenz 
label: label 
olvidan: olvidan 
eso: eso 
version: version 
advertise: advertise 
son: son 
todo: todo 
f: f 
sobre: sobre 
pocos: pocos 
